id_client,score_satisfaction,commentaire
1,47,"Tres satisfait du service"
2,31,"Support lent"
3,49,"Interface agreable"
4,28,"Temps dattente trop long"
5,45,"Personnel aimable et competent"
6,37,"Bon service mais ameliorable"
7,42,"Livraison rapide et soigne"
8,23,"Problemes techniques recurrents"
9,48,"Experience utilisateur excellente"
10,30,"Service client difficile a joindre"
11,46,"Application fluide et intuitive"
12,34,"Manque de suivi apres lachat"
13,40,"Bonne qualite de service"
14,25,"Delais de reponse trop longs"
15,49,"Service parfait rien a redire"
16,38,"Satisfait dans lensemble"
17,43,"Support reactif et professionnel"
18,29,"Paiement complique a effectuer"
19,41,"Interface claire et agreable"
20,32,"Produit conforme mais livraison lente"
21,44,"Tres bon accompagnement client"
22,26,"Difficulte a naviguer sur le site"
23,47,"Reponses rapides et precises"
24,35,"Correct mais sans plus"
25,49,"Je recommande vivement ce service"
